work_men,work_women,women_perc
astronomo,astronoma,32
contabile,contabile,66
bibliotecario,bibliotecaria,74
venditore,venditrice,42
receptionist,receptionist,54
sociologo,sociologa,69
avvocato,avvocatessa,52
carpentiere,carpentiere,1
muratore,muratrice,1
pescatore,pescatrice,3
elettricista,elettricista,1 
bracciante,bracciante,31
domestico,domestica,88
educatore,educatrice,72
bidello,bidella,70
barista,barista,59
geometra,geometra,11
parrucchiere,parruchiera,66
estetista,estetista,93
panettiere,panettiera,24
pasticcere,pasticcere,41
attore,attrice,31
idraulico,idraulica,1
bagnino,bagnina,17
programmatore,programmatrice,19
massaggiatore,massaggiatrice,66
sarto,sarta,83
falegname,falegname,1
bigliettaio,bigliettaia,47
banchiere,banchiere,16
atleta,atleta,6
allenatore,allenatrice,12
segretario,segretaria,87
postino,postina,38
maestro,maestra,94
scienziato,scienziata,44
storico,storica,66
geologo,geologa,12
vetrinista,vetrinista,62
